region,value
China,2337.571777
China,23.84720612
China,246.5816345
China,2096.86499
China,1.382800102
China,1.724706531
China,0.110658482
China,0.76885587
China,9.538795471
China,30.2236042
China,214670
China,301238
China,309000
China,498000
China,309000
China,498000
China,56869.42188
China,3576.439453
China,4544.102539
China,423.5605469
China,51086.47656
China,931291
China,228291
China,485476
China,80441.20313
China,26601.10156
China,6464.261719
China,298525.4688
China,77
China,3512477
China,996191
China,8508.631836
China,1976.922119
China,890.8919067
China,0.03762681
China,7208.378418
China,523.8796997
China,467.3157349
China,30.11375809
China,0.034946177
China,0.000356068
China,0.004234193
China,0.044483051
China,2088.960205
China,21.28449631
China,253.1052246
China,2659.04126
China,21.03858566
China,10.49643898
China,0.166718528
China,0.120547295
China,1.944724321
China,1.727150798
China,0.034946177
China,0.000356068
China,0.004234193
China,0.044483051
China,2088.960205
China,21.28449631
China,253.1052246
China,2659.04126
China,3.636401415
China,5.304136276
China,8508.631836
China,1976.922119
China,890.8919067
China,0.03762681
China,7208.378418
China,523.8796997
China,467.3157349
China,30.11375809
China,309000
China,498000
China,56869.42188
China,3576.439453
China,4544.102539
China,423.5605469
China,51086.47656
China,931291
China,228291
China,485476
China,80441.20313
China,26601.10156
China,6464.261719
China,298525.4688
China,77
China,3512477
China,996191
China,8508.631836
China,1976.922119
China,890.8919067
China,0.03762681
China,7208.378418
China,523.8796997
China,467.3157349
China,30.11375809
China,0.034946177
China,0.000356068
China,0.004234193
China,0.044483051
China,2088.960205
China,21.28449631
China,253.1052246
China,2659.04126
China,56869.42188
China,485476
China,21.03858566
China,10.49643898
China,0.166718528
China,0.120547295
China,3.636401415
China,1.944724321
China,1.727150798
China,5.304136276
China,21.03858566
China,10.49643898
China,0.166718528
China,0.120547295
China,3.636401415
China,1.727150798
China,1.944724321
China,5.304136276
China,80441.20313
China,4544.102539
China,26601.10156
China,423.5605469
China,6464.261719
China,3576.439453
China,51086.47656
China,298525.4688
China,77
China,931291
China,3512477
China,228291
China,996191
China,1596339
China,600148
China,6246490
China,2734013
China,232
China,470000
China,677000
China,84183.34375
China,1719.120117
China,11698.28418
China,1018.612549
China,86118.36719
China,155
China,2734013
China,600148
China,569659.3125
China,82160.32031
China,38299.38672
China,384643.8438
China,155
China,86118.36719
China,1719.120117
China,7482.874512
China,1018.612549
China,38299.38672
China,11698.28418
China,82160.32031
China,34.85896301
China,16.0056572
China,2.506601334
China,3.004379034
China,6.141050339
China,0.166909635
China,0.438233465
China,12.08972836
China,26.10106659
China,16.0056572
China,3.004379034
China,2.506601334
China,6.141050339
China,0.166909635
China,0.438233465
China,12.08972836
China,26.10106659
China,569659.3125
China,84183.34375
China,9984.060547
China,2019.171143
China,1147.89563
China,0.113369092
China,12819.17676
China,839.4872437
China,672.8256836
China,16.0056572
China,6.141050339
China,3.004379034
China,2.506601334
China,0.166909635
China,0.438233465
China,12.08972836
China,26.10106659
China,2448.1875
China,31.33381271
China,335.8327332
China,4972.381836
China,0.040955685
China,0.000524183
China,0.00561814
China,0.083182886
China,12819.17676
China,839.4872437
China,672.8256836
China,34.85896301
China,0.040955685
China,0.000524183
China,0.00561814
China,0.083182886
China,2448.1875
China,31.33381271
China,335.8327332
China,4972.381836
China,470000
China,677000
China,84183.34375
China,1719.120117
China,11698.28418
China,1018.612549
China,86118.36719
China,155
China,2734013
China,600148
China,569659.3125
China,82160.32031
China,38299.38672
China,7482.874512
China,384643.8438
China,232
China,6246490
China,1596339
China,9984.060547
China,2019.171143
China,1147.89563
China,0.113369092
China,470000
China,677000
China,7482.874512
China,384643.8438
China,232
China,6246490
China,1596339
China,9984.060547
China,2019.171143
China,1147.89563
China,0.113369092
China,12819.17676
China,839.4872437
China,672.8256836
China,34.85896301
China,0.040955685
China,0.000524183
China,0.00561814
China,0.083182886
China,2448.1875
China,31.33381271
China,335.8327332
China,4972.381836
China,1447023.5
China,2050275
China,1608507.375
China,2279080
China,0.118622042
China,0.013772496
China,0.040173661
China,0.410046965
China,7090.810547
China,823.2716064
China,2401.440918
China,24511.17383
China,0.090632141
China,0.013917706
China,0.036102943
China,0.372521371
China,5417.672363
China,831.9517822
China,2158.107666
China,22268.02539
China,197020
China,3182
China,127394.6094
China,8760
China,864541
China,45502
China,5701080
China,1836340
China,1307750
China,52440
China,229897.9063
China,30085.30078
China,2654190
China,127710
China,24497600
China,6318000
China,23597.61914
China,1198.238892
China,3664.960693
China,241.5539398
China,8184.240234
China,265.5942993
China,51683.95313
China,13627.80176
China,31
China,19
China,4
China,0.775229216
China,31
China,11
China,8
China,28
China,49
China,26
China,4
China,0.804479539
China,34
China,10
China,13
China,32
China,313019
China,8178
